Course,"2023-11-13, 11:23_x","2023-11-13, 11:23_y"
BIT 091,101,101
BIT 099,0,0
BIT 161,-1,-1
BIT 171,53,53
BIT 189,0,0
BIT 192,0,0
BIT 199,0,0
